Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
140,,,University of Glamorgan,19831,138,1011,2639,295,23914,,4633,3262,3942,1121,1395,1393,370,16116,,140
141,,,"The University of Wales, Lampeter",3452,0,0,164,35,3651,,422,536,780,300,287,21,213,2559,,141
142,,,University of Wales College of Medicine,21632,50,322,5368,2072,29444,,4694,1290,2530,115,187,1622,1892,12330,,142
143,,,"University of Wales College, Newport",6755,0,0,51,0,6806,,1243,1127,3560,1485,509,0,405,8329,,143
144,,,The North-East Wales Institute of Higher Education,6202,-1,546,111,547,7405,,980,799,1330,674,235,162,385,4565,,144
145,,,"University of Wales, Registry",331,0,0,171,0,502,,90,0,1661,9,396,0,266,2422,,145
146,,,Royal Welsh College of Music and Drama(#2),2203,0,0,0,0,2203,,431,191,871,259,0,0,0,1752,,146
147,,,Swansea Institute of Higher Education,6370,173,252,0,0,6795,,889,640,1729,660,204,11,0,4133,,147
148,,,"University of Wales, Swansea",23791,467,492,4019,1950,30719,,5872,2152,4951,2467,2128,592,3211,21373,,148
149,,,"Trinity College, Carmarthen",2702,16,192,0,126,3036,,294,405,739,226,501,0,162,2327,,149
